Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Tonik,Bimo,504.0,4.35,22.2,40.0,0.217,71.7,6111031005064,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja",N/A
Sourdough White Ciabattin Bread,Jason’s,230.0,10.1,0.8,2.4,0.905,44.1,5025125000006,"Wheat Flour (Fortified with Calcium Carbonate, Iron, Niacin, Thiamin), Water, Salt, Fermented Wheat Flour.",N/A
Sourdough Grains & Seeds,Jason's,237.0,10.7,2.7,1.4,0.825,40.2,5025125000037,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Mixed Seeds (Golden Linseeds, Sunflower Seeds (6%), Sprouted Spelt (Wheat) Grains (1.5%), Salt, Fermented Wheat Flour.",N/A
Oat Drink Barista Edition,Oatly,61.0,1.1,3.0,3.4,0.0975,7.1,7394376616228,"water,  oats  10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),",N/A
Weetabix,Weetabix,358.0,11.8,2.11,4.21,0.257,68.4,5010029000016,"Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",N/A
Organic - Lightly Salted - Wholegrain Low Fat - Rice Cakes imp,Kallø,386.0,8.57,2.86,0.0,0.0,80.0,5013665100065,"Organic wholegrain rice 99.8%, Sea Salt",N/A
Pain de mie grandes tranches Seigle & Graines 500g,La Boulangère,297.0,12.0,9.6,4.2,0.96,37.0,3760049798609,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.",N/A
Sourdough Bread - Superb Sprouted Grains n°7,Jason's,233.0,9.3,1.1,2.6,0.825,44.8,5025125000129,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Wholemeal Spelt Flour, Sprouted Spelt (8%), Rye Flour, Salt, Fermented Wheat Flour",N/A
14 Maxi Tranches complet sans sucres ajoutés,Jacquet,243.0,8.7,3.0,3.8,1.2,42.0,3029330022428,"Ingrédients: Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colza, levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Présence possible de: Lait, œufs, graines de sésame.",N/A
cruesly mélange de noix,Quaker,462.0,8.5,19.0,12.0,0.0,57.0,3168930010265,"_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",N/A
