Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Organic Chicken Stock Cubes 8 Pack,Kallø,7.0,0.1,0.5,0.1,0.9,0.7,5013665112235,"Sea salt,organic potato starch, organic sustainable palm fat (palm oil), organic sugar, organic chicken fat (3.5%),organic  yeast extract, natural chicken flavour, organic chicken powder (1%), organic  spices and organic herbs (organic turmeric, organic black pepper, organic parsley,organic rosemary), organic onion",N/A
Salade & Compagnie Manhattan Poulet Roti,SODEBO,186.0,8.3,8.8,4.1,0.53,17.0,3242274030056,"Salade composée 80% spécialités céréalières cuites (eau, semoule de BLE dur, CEUF, sel, curcuma), CEUF, salade 11%, viande de poulet, carottes, FROMAGE à pâte dure, jus de citron, huile de colza, eau, amidon et/ou fécule, dextrose, ferments, sel, arôme naturel, persil. Sauce vinaigrette balsamique 7% : huile de colza, huile d'olive vierge, vinaigre de vin (SULFITES), moût de raisin, sel. Cookie au chocolat 7% : sucre, farine de BLE, CEUF, BEURRE, huile de colza, pâte et beurre de cacao, poudre de cacao maigre, poudre à lever: bicarbonate de sodium, émulsifiants: lécithines (SOJA), arôme naturel, sel. Gressins 4% et fourchette 2% : farine de BLE, son de BLE, fibre de BLE, semoule de BLE dur, BEURRE, huile d'olive vierge, huile de colza, eau, levure boulangère, sucre, amidon et/ou fécule, sel, graines de pavot, arôme naturel. Ce produit peut contenir du poisson, du soja, de la moutarde, des fruits à coque et d'autres céréales contenant du gluten. Poulet: origine UE",N/A
Blanc de Poulet,Fleury  Michon,100.0,21.0,1.6,0.5,1.475,0.5,3302740059193,"Filet de poulet 94%, bouillon (eau, os de poulet, échalote, ail, épices, plantes aromatiques, céleri, oignon, poireau, carotte), sel, jus concentré de carotte et céleri, dextrose, ferments, aröme naturel, antiOxYdant : ascorbate de sodium, colorant: caramel ordinaire,",N/A
Instant Nudeln - Chicken Flavour,Yumyum,79.5,1.24,4.47,0.395,0.79,8.68,8852018101024,"_Weizenmehl_ (_Gluten_), Palmöl (Palmöl, Antioxidationsmittel: E306), Salz, Tapiokastärke, modifizierte Tapiokastärke, Knoblauch 1,7%, Aroma, Geschmacksverstärker: E621, E635, Zucker, Chili 0,5%, Frühlingszwiebel 0,1%, Pfeffer 0,1%, Maisstärke, Säuerungsmittel: E296, Verdickungsmittel: E466, Hefeextrakt, Farbstoff: E150c",N/A
Classic Chicken Soup,Covent Garden,53.9,3.71,2.5,0.893,0.5,4.0,5056053305703,"Water, potato 20%, onion, chicken 5%, single cream (milk) (4%), roast chicken stock (roast chicken, rehydrated potato, water, yeast extract, salt, chicken fat), cornflour, salted butter (butter (milk), salt), garlic puree, salt, black pepper.",N/A
Roast chicken and traditional vegetables,Yorkshire Provender,55.0,3.5,2.3,1.5,0.65,4.8,5056053308742,"Vegetables (49%) (potato, carrot, onion, savoy cabbage, broccoli, leek, celeriac (celery), parsnip, celery), water, chicken (5%) (roast chicken, chicken), roast chicken stock [water, roast chicken, yeast extract, salt, potato flake, chicken fat], double cream (milk), vegetable bouillon [salt, potato starch, dried vegetables (celeriac (celery), onion, garlic, tomato), spices (celery, turmeric, black pepper, mace, nutmeg), herbs (lovage, parsley)], unsalted butter (milk), garlic purée, fresh Yorkshire parsley, thyme, black pepper, salt",N/A
Caldo casero de pollo,Gallina Blanca,5.0,0.4,0.3,0.1,0.75,0.2,8410300349051,"Agua, pollo 14%, _apio_ 0,5%, patata 0,4%, cebolla 0,2%, zanahoria 0,2%, puerro 0,2%, grasa de cerdo, aroma natural (_huevo_), sal, especias,",N/A
very low salt organic chicken,kallo,7.0,0.1,0.4,0.2,0.1,0.8,5013665107538,"Potato starch*, sustainable palm fat*, ALLERGEN ADVICE: glucose syrup*, chicken powder* (7,2%), chicken fat* See ingredients list for (7,2%), sea salt, yeast extract, vegetables* (onion*, leek*, allergens in bold. celery*), herbs and spices* (turmeric*, black pepper*, lovage&quot;, rosemary&quot;, garlic&quot;, parsley&quot;), natural chicken flavour, natural lovage flavour. &quot;Organic ingredient",N/A
HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,Herta,105.6,21.0,2.0,0.0,1.5,0.9,3154230800965,"Filets de poulet 92,3%, Sel, Bouillon (eau, viande et os et graisse de poulet, sel, extraits de carotte et d'oignon, sucre, ail, thym, laurier, livèche, curcuma, paprika, poivre noir, muscade, clou de girofle, antioxydant : extrait de romarin), Arôme naturel (présence naturelle de polyphénols), Arôme, Chlorure de potassium, Conservateur : acétate de potassium, Antioxydant : acide ascorbique, Colorant : caramel ordinaire.",N/A
Chicken Stock Pot 8 x,Knorr,91.0,4.1,4.0,6.6,14.95,9.2,8712566479368,"concentrated chicken stock (63%) (water, chicken), salt, sugar, flavourings, yeast extract, chicken fat (2%), potassium chloride, palm fat, gelling agents (xanthan gum, locust bean gum), garlic, carrots,quot,, leekt, caramel syrup, maltodextrin, parsley,quot,, carrot juice concentrate,quot,, antioxidant (extracts of rosemary), colour (carotenes)",N/A
Chicken italia chipolatas,Heck,109.0,18.2,2.73,0.909,1.61,3.82,5060317350040,"british chicken (85%), pea flour, water, seasoning (salt, rice flour, sugar, dried leek, preservative (sodium sulphite), spice, yeast extract, antioxidant (ascorbic acid), citric acid, spice extracts, natural flavouring, herb extract), mozzarella (2%) (from milk), slow roasted tomatoes (2%), basil (1%), garlic, filled into beef collagen casings, allergens refer to ingredients in bold, produced in the uk using british chicken,",N/A
Chicken Stock Pot 4 x,Knorr,92.0,4.1,4.0,6.6,15.2,9.1,8722700268727,"concentrated chicken stock (63%) (water, chicken), salt, sugar, flavourings, yeast extract, chicken fat (2%), potassium chloride, palm fat, gelling agents (xanthan gum, locust bean gum), garlic, carrots*, leek*, caramel syrup, maltodextrin, parsley*, carrot juice concentrate*, antioxidant (extracts of rosemary), colour (carotenes), *sustainably grown",N/A
Tiras Pollo al natural,Hacendado,107.0,23.4,1.2,0.6,1.77,0.6,8480000566614,"Pechuga de pollo (99%), sal, dextrosa, fécula de patata, pimienta, perejil, aroma natural,",N/A
Pechuguita de pollo asada al horno,La Carloteña,125.0,26.8,2.0,0.5,1.57,0.5,8437010848230,"Ingredientes: Pechuga de pollo (99 %), sal, estabilizante (E-452), dextrosa, antioxidante (E-301), aroma, conserva - dor (E-250).",N/A
"Cully & sully, Chicken Vegetable Soup",Cully & Sully,68.0,1.9,4.3,2.3,0.787,4.7,5391511420209,"water, carrots (19%), potatoes (11%), onions (8%), chicken breast (4%), leeks, cream (milk), butter (milk), celery (2%), chicken stock [salt, maltodextrin, yeast extract, flavouring, herbs and spices (pepper, turmeric, parsley), sugar, vegetables (onions, celery, carrots), chicken, sunflower oil, chicken fat, citrie acid, caramelised sugar),",N/A
Penne au Poulet et au Pesto,Marie,186.0,8.0,7.9,1.6,0.65,20.0,3248832960209,"Penne rigate cuites 58% (eau, semoule de _blé_ dur, huile de colza), poulet mariné et cuit 16,2% (viande de poulet origine France 15,9% , sel, sucre, jus de citron), épinards, eau, huile d'olive vierge 3,6%, _Parmesan_ (_Parmigiano Reggiano_ AOP) 2,5%, huile de colza, jus de citron concentré, basilic 0,7%, purée d'ail 0,6%, poivron rouge, farine de _blé_, épice et plantes aromatiques, sel, huile de tournesol, extrait de basilic.",N/A
Super Noodles Chicken Flavour,Batchelors,438.0,8.8,18.8,1.0,1.38,57.2,5000354405099,"Noodles (Water, _Wheat_ Flour (with added Calcium, Iron, Niacin, Thiamin), Palm Oil, Antioxidants (Butylated Hydroxyanisole, Citric Acid, Propyl Gallate)), Maltodextrin, Salt, Flavour Enhancers (Monosodium Glutamate, Disodium 5'-ribonucleotides), Dextrose, Yeast Extract, Onion, Garlic, Potassium Chloride, Flavouring, Ground Turmeric, Malic Acid, Parsley, Black Pepper Extract",N/A
Brilliant Broth Chicken Ramen,Itsu,24.8,1.32,1.8,0.8,0.292,0.84,5060262486931,"water, chicken stock (roast British chicken (50%), yeast extract, salt, chicken fat, water, lemon juice from concentrate, sugar, onion powder, leek powder, natural black pepper flavouring, sage oil), sesame seed paste, soy sauce (water, soya beans, wheat, salt), sesame oil, sugar, mirin rice wine (fermented rice, water, maltose, alcohol), salt, garlic, ginger, leek powder, onion powder, colour: paprika extract; pepper extract.",N/A
Lightly Salted Corn Cakes,Rivercote,384.0,7.0,1.4,0.5,0.31,85.0,20226909,"Corn, 0.3% Sea Salt.",N/A
Bisto chicken gravy,Bisto,400.0,2.2,15.6,16.7,11.7025,61.6,5000354919541,"potato starch, maltodextrin, palm f s calcum, iron, niacin, thiamin), flavouring sugar ra glutamate, disodium 5'-ribonucleotides), colour (soya lecithin), black pepper extract, sage extact allergy advice: for allergens, includingo bisto trade marks, designs and logos appea nut",N/A
