Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Perly,Jaouda,97.0,8.0,3.0,,,9.4,6111242100992,"Lait écrémé, crème, SUcre, ferments laciques Matière grasse:3 %% Poids net : 85g",N/A
Fromage blanc nature,MILKY FOOD PROFESSIONAL,80.6,7.3,12.0,0.0,0.0,6.1,6111246721261,"Ferments lactiques, Présure, Sel.",N/A
Margarine de table,lilia,675.0,0.1,75.0,0.0,0.5,0.2,6111099003897,"زيوت نباتية مصفاة غير مهدرجة مل طيب نشأ الفرد مستحبات (2471) و (478) تسكين الصوجا (1222) حمض السورية (200) السيتريك (2300) مضادات الأكسدة سوريات البوتاسيوم (1202) حم خليط الشوكوفيرولات)، منكم ملون (1600) وفينا , AU : يحفظ في مكان بارد درجة TERR All FRANS : Tents",N/A
Assil,Danone,95.5,3.4,2.7,9.0,0.0,14.0,6111032001003,"ليوغور م.د,%2. مصنوع إخط قد يمكن أن يحتوي على الگلوتين، الجوز والبندق. 2.",N/A
Jamila,Danone,72.0,1.9,1.7,9.0,0.0,12.4,6111032006619,"Lait sans crème, sucre, crème, poudre de lait sans crème, protéines du lait, matière grasse laitiere, colorant naturel",N/A
Geröstete Mandel Ohne Zucker,Alpro,15.0,0.5,1.1,0.0,0.15,0.0,5411188112709,"Wasser, _Mandeln_ (2,3%), Calcium (Calciumcarbonat), Meersalz, Stabilisatoren (Guarkernmehl, Gellan), Emulgator (Lecithine), natürliches Aroma, Vitamine B12, D2, E.",N/A
Oat Drink Barista Edition,Oatly,61.0,1.1,3.0,3.4,0.0975,7.1,7394376616228,"water,  oats  10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),",N/A
,Gervais,137.0,7.0,7.0,7.2,0.5,11.7,6111032008583,حليب بدون قشدة ،قشدة ،مسحوق حليب بدون قشدة، سكر، كلورور الكالسيوم،  خمائر حليبية,N/A
Ohne Zucker Hafer,Alpro,44.0,0.7,1.8,,,5.5,5411188124689,"_Haferbasis_ (97,0%) (Wasser, _Hafer_ (8,3%)), löslicher Mais-Ballaststoff, Sonnenblumenöl, Calcium (Calciumcarbonat), Meersalz, Stabilisator (Gellan), Vitamine B2, B12, D2.",N/A
N/A,N/A,675.0,0.1,75.0,0.0,0.5,0.2,6111099005396,"huile végétale non hydrogénée, eau, lait écrémé en poudre, sel, émulsifiants (E322, lécithine de tournesol, E476, E471), conservateurs (E202, E330), colorant (E160a), vitamines A, D, E",N/A
NATURAL YOGURT,Milbona Lidl,126.0,4.1,10.0,4.4,0.25,4.6,4056489148739,Milk,N/A
Tofoo Naked,The Tofoo Co.,144.359464627151,16.5,7.8,0.1,0.06,1.1,5034467000216,"Organic Tofu (Water, Organic _Soya_ Beans 36%, Nigari).",N/A
Ghilal Yaourt zr3,Jaouda,106.0,3.5,3.0,7.5,0.0,16.0,6111242102002,"Ingré&lents : lait entier enrichi en crème, sucre, poudre de lait écrémé, texturant : amidon, préparation de céréales, fibres, arômes, ferments ladiques et colorant naturel. Matière grasse : 3,4 % Poids net : 110 g",N/A
Yeo Valley Organic kefir natural fermented yogurt,Yeo Valley Organic,64.0,4.7,2.1,5.4,0.12,5.4,5036589252450,"Organic MILK, fermented with live kefir cultures",N/A
5% Greek Yogurt,Fage,93.0,9.0,5.0,3.0,0.0975,3.0,5201054017432,"Pasteurised skimmed milk, cream (milk), live active yoghurt cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei).

no palm oil",N/A
Skyr | Natural Fat Free | 0% Fat,Arla,60.0,10.0,0.2,4.0,0.1375,4.0,4016241030573,skimmed  milk,N/A
Greek Style Yogurt,"Milbona, Pilos",121.0,4.6,10.0,3.2,0.1,3.2,20047559,"cream, skimmed milk retentate, microbial cultures,",N/A
Geröstete Mandel,Alpro,22.0,0.4,1.1,2.4,0.14,2.4,5411188110835,"Wasser, MANDELN (2,3%), Zucker, Calcium (Tricalciumphosphat), Meersalz, Stabilisatoren (Johannisbrotkernmehl, Gellan), Emulgator (Lecithine), natürliches Aroma, Vitamine (B2, B12, E, D2). Mandeln aus Spanien. Kann Spuren von Schalenfrüchten (keine Erdnüsse) enthalten.",N/A
BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,Bjorg,25.0,0.7,1.7,0.5,0.05,1.6,3229820787015,"Lait d'amandes (eau, amandes 2,8%), amidon de riz, arôme naturel d'amande, sel marin, stabilisants: gomme guar, gomme xanthane",N/A
Kefir Drink Original,Biotiful,59.2,3.52,2.92,2.8,0.098,4.8,5060337220415,"Pasteurised Cow’s Milk fermented with Live Kefir Cultures*. Bifidobacterium, Lactobacillus acidophilus, Lactobacillus plantarum, Lactobacillus casei, Lactobacillus rhamnosus",N/A
Natur mit Kokosnuss,Alpro,54.0,3.9,2.8,2.2,0.22,2.4,5411188119098,"_Sojabasis_ (Wasser, geschälte _Sojabohnen_ (10,4%)], Kokosmilch (4,3%) (Kokosceme, Wasser), Zucker, Tricalciumcitrat, Säureregulatoren (Natriumcitrate, Citronensäure), Stabilisator (Pektine), natürliches Aroma, Meersalz, Antioxidationsmitel (stark tocopherol-tatige Extract, Fettsäureester der Ascorbinsäure), Vitamine (B12, D2), Joghurtkulturen (Str,thermophilus, L, bulgaricus).",N/A
Natural Coconut Yog,The coconut collaborative,120.0,1.2,10.0,1.6,0.04,5.9,0680569854124,"Coconut Milk (67%), Coconut Water (28%), Corn Flour, Corn Fibre, Potato Flour, Fruit Pectin, Cultures (S. Thermophilus + L. Bulgaricus, Lactobacillus Acidophilus, Bifidobacterium Lactis)",N/A
Oat,Alpro,46.0,0.8,1.5,3.3,0.0775,6.6,5411188115366,"oat  base (96,6%) (water,  oat  (9,8%)), soluble corn fibre, sunflower oil, calcium (tri-calcium phosphate), sea salt, stabiliser (gellan gum), vitamins b2, b12, d2,",N/A
Fage Total 0% Yogurt,Fage,54.0,10.3,0.0,3.0,0.0975,3.0,5201054017418,"Pasteurised skimmed milk, cultures (L. Bulgaricus, S. Thermophilus, L.Acidophilus, Bifidus, L. Casei)",N/A
