Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Orange juice,Coca cola,39.0,0.0,0.0,17.0,0.126,9.3,5449000147417,"water, fructose-glucosic syrup, orange juice from concentrate (7%), orange pulp (4%) acid: citric acid, acidity regulator: sodium citrates, stabilisers: arabic gum and glycerolesters of wood resins, antioxidant aroma: ascorbic acid carotene dye",N/A
PRESSup,jaouda,54.0,0.4,0.1,5.5,2.5e-06,13.0,6111242104198,"Jus d'orange, eau, sucre, acidifiant : acide citrique, vitamine C, arôme naturel.",N/A
Press up,N/A,54.0,0.4,0.1,5.5,0.0025,13.0,6111242107380,"Jus d'orange, eau, sucre, acidifiant : acide citrique, vitamine C, arôme naturel",N/A
Shot de gingembre bio,Solevita,35.0,0.5,0.5,7.6,0.01,7.9,4056489028109,"Jus de pomme* 65%, jus de gingembre* 25%, jus de citron* 10%, antioxydant (acide ascorbique)",N/A
Jutos,Jaouda,42.2,0.0,0.0,8.0,0.05,10.0,6111242106666,"eau, jus de pulpe d'orange, sucre, acide citrique, vitamine C, arômes, colorant naturel.",N/A
Press Up mini,Jaouda,37.0,0.1,0.0,4.5,2.5,8.7,6111242107366,"Jus d'orange, eau, sucre, acidifiant : acide citrique, vitamine C, arôme naturel",N/A
Bul'tropicale,"Les Eaux Minérales d'Oulmès, Oulmès",44.0,0.0,0.0,8.9,0.0,11.8,6111035002052,"eau minérale naturelle gazeuse, jus de fruits, sucre, arômes, acidifiant acide citrique, antioxydant acide ascorbique, colorant, sel",N/A
Coca-Cola Zero,Coca-Cola,0.3,0.0,0.0,0.0,0.01,0.0,5449000131843,"Coke ZERO.
BEBIDA REFRESCANTE AROMATIZADA Con edulcorantes: agua carbonatada, colorante E-150d, edulcorantes: ciclamato sodico acesulfamo K, aspartamo y glucosósidos de esteviol producidos enzimáticamente, acidulante acido fosfórico, aromas naturales, aroma cafeína. Corrector de acidez: citratos de sodio. Contiene una fuente de fenilalanina. INFORMACIÓN NUTRICIONAL Por 100 ml 0,2 kcal (1 kcal 250ml)",N/A
Chopped Tomatoes,Tesco,22.0,1.1,0.1,3.8,0.0688,3.8,5057545745946,"Tomatoes 60%, Tomato Juice, Acidity Regulator (Citric Acid).",N/A
Orangensaft,Tropicana,40.0,0.8,0.0,8.9,0.0,8.9,3502110009449,"orange juice,",N/A
