Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Tonik,Bimo,504.0,4.35,22.2,40.0,0.217,71.7,6111031005064,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja",N/A
,Maruja,539.0,7.2,33.0,50.0,0.275,53.0,8425197712024,"sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring",N/A
KING COOKIES,Excelo,483.0,5.2,24.0,32.0,0.27,61.5,6111259343108,دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب,N/A
Pâte à tartiner noisettes et cacao,Bonne Maman,551.0,6.7,34.0,51.0,0.1,53.0,3608580065340,"sucre, _noisettes_ 20%, huiles végétales (tournesol, colza), _lait_ écrémé en poudre, cacao maigre en poudre 5,5%, beurre de cacao, émulsifiant : lécithine de tournesol, extrait de vanille, Peut contenir d'autres _fruits à coque_,",N/A
poulain,Poulain,70.0,3.9,1.9,8.4,0.11,8.9,16256163,"Sucre, huile de tournesol, noisettes, cacao en poudre (7%), lait écrémé en poudre, lactosérum (de lait) en poudre, lactose (de lait), beurre de cacao émulsifiant : lécithines de soja), arôme naturel de vanille.

Peut contenir autres fruits à coque.",N/A
Le Beurre Tendre Doux,"Elle & Vire, Savencia",744.0,0.7,82.0,0.8,0.05,0.8,3451790988677,"cream (origin france), milk fat , lactic ferments,",N/A
Dark Chocolate 70%,"J.D. Gross,Lidl",565.0,8.4,41.5,27.2,0.03,33.8,20095291,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier: Soya Lecithins, Vanilla Extract.",N/A
Nutella,"Ferrero, Nutella",539.0,6.3,30.9,56.3,0.11,57.5,80176800,"Sugar, Palm oil, Hazelnuts, Skimmed milk powder, Low-fat cocoa, Emulsifier: Lecithins (SOY), Vanillin.",N/A
Nutella,Ferrero,539.0,6.3,30.9,56.3,0.11,57.5,4008400401621,"sugar, palm oil, hazelnuts (13%), skimmed milk powder (8,7%), fat-reduced cocoa (7,4%), emulsifier: lecithins (soya), vanillin",N/A
Nestlé Dessert,Nestlé,548.0,6.0,34.1,46.4,0.01,50.7,7613035040823,"Sucre, pâte de cacao (Afrique de l'Ouest, Amérique du Sud), beurre de cacao, émulsifiant (lécithine), arôme naturel de vanille de Madagascar. Cacao : 53% minimum. Peut contenir : LAIT, FRUITS A COQUE.",N/A
Pains au lait x10,Pasquier,353.0,8.6,11.0,11.0,0.00275,55.0,3256540000698,"Farine de _blé_ 43%, Levain 21% (Farine de _blé_ 11%, Eau, Sel), Sucre, _Œufs_ frais 11%, _Beurre_ pâtissier, Huile de colza, Levure, _Lait_ écrémé en poudre (Équivalent à 10% de lait écrémé reconstitué), Émulsifiant: mono et diglycérides d'acides gras, Sel, Protéines de _blé_, _Gluten_ de blé, Extrait de carotte, Agent de traitement de la farine : acide ascorbique, Protéines de _lait_",N/A
Nutella,"Ferrero, Nutella",539.0,6.3,30.9,56.3,0.107,57.5,8000500179864,"Sucre, graisse végétale (palme), noisettes (13%), lait écrémé en poudre (8,7%), cacao maigre en poudre (7,4%), émulsifiant: lécithines (soja)(0,43%), arôme: vanilline (0,02%). I",N/A
Brioche Tranchée Bio 400g,La Boulangère,336.0,8.8,9.4,13.0,0.95,52.0,3284230006408,"Farine de BLÉ*/** 54%, ŒUFS entiers*/** 14%, sucre de canne roux*, huile de tournesol*/** 8%, levain* (eau, farines de BLÉ*/** 2% et de SEIGLE*, levures), GLUTEN DE BLÉ*, sel, levure, arôme naturel de vanille* (contient alcool*), extrait de vanille*, levure désactivée. Traces éventuelles de lait, moutarde et soja. *Ingrédients issus de l'Agriculture Biologique. **Ingrédients issus du commerce équitable français.",N/A
Peripella,Peripella,555.0,5.1,35.0,52.0,0.13,53.0,6111250474405,"sucre, huile végétale et graisse végétale, lactosérum en poudre, poudre de cacao, pâte de noisettes, émulsifiants: lécithine de soja, arômes, antioxydants: E306 et E304i",N/A
La gâche tranchée,La Fournée Dorée,341.0,8.1,12.0,13.0,1.12,49.0,3587220002252,"Farine de blé 52%, sucre, beurre frais 10%, œufs entiers frais 8%, eau, crème fraîche 3%, sel, arômes naturels (alcool), levure, gluten de blé, eau de vie, émulsifiant (E471), protéines de lait, levure désactivée, béta carotène",N/A
Chocolat Noir 92% cacao,Dark Excellente,580.0,15.0,49.0,10.0,0.0,14.0,8410510012196,"Pâte de cacao, cacao en poudre dégraissé, beurre de cacao, sucre, lait en poudre, pâte de amandes et de noisettes, émulsifiants (lécithines (soja, tournesol)) et arôme.",N/A
2 Bars Milk and Hazelnuts,"Kinder Bueno,Kinder",572.0,8.6,37.3,41.2,0.272,49.5,80052760,"_MILK_ chocolate 31.5% (sugar, cocoa butter, cocoa mass, skimmed _MILK_ powder, concentrated _BUTTER_, emulsifier: lecithins (_SOYA_), vanillin), sugar, palm oil, _WHEAT_ flour, _HAZELNUTS_ (10.5%), skimmed _MILK_ powder, whole _MILK_ powder, chocolate (sugar, cocoa mass, cocoa butter, emulsifier: lecithins (_SOYA_), vanillin), fat-reduced cocoa, emulsifier: lecithins (_SOYA_), raising agents (sodium bicarbonate, ammonium bicarbonate), salt, vanillin.",N/A
Runny Honey imp,Rowse,329.0,0.5,0.5,80.8,0.03,81.5,5011273040698,honey,N/A
Ecuador dark chocolate,Tesco finest,590.0,7.0,45.0,28.0,0.1,35.0,5059697731860,"Cocoa Mass, Sugar, Cocoa Butter, Flavouring,",N/A
Nutri+ avoine chocolat,Bjorg,454.0,8.2,18.0,17.0,0.61,61.0,3229820794525,"Flocons d'avoine* 31%, farine de blé*, huile de colza*, sucre roux de canne*, pépites de chocolat noir* 9% (sucre de canne*, pâte de cacao*, beurre de cacao*), billes de riz* soufflé (farine de riz*, sel), fibres d'acacia*, poudres à lever :carbonates d'ammonium, carbonates de sodium, extrait de cacao*, cacao* maigre en poudre, jaune d'œuf* en poudre, sel marin, antioxydant: extraits de romarin*. Ingrédients biologiques.",N/A
Strawberry Jam,Bonne Maman,241.0,0.4,0.1,59.0,0.0,59.0,3045320094008,"strawberries, sugar, cane sugar, concentrated lemon juice, gelling agent (fruit pectin),",N/A
digestives,McVitie's,483.0,7.0,21.3,15.1,1.3,63.6,5000168036755,"Flour (55%) (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm), Wholemeal Wheat Flour (16%), Sugar, Partially Inverted Sugar Syrup, Raising Agents (Sodium Bicarbonate, Malic Acid, Ammonium Bicarbonate), Salt. For allergens, including cereals containing gluten, see ingredients in bold. May also contain Milk. BY APPOINTMENT TO HER MAJESTY THE QUEEN BISCUIT MANUFACTURERS UNITED BISCUITS (UIO LIMITED, LONDON FOR SUITABLE FEGETARIAN V Suitable for Vegans 360a4",N/A
Cookie🍪 cacao pépites Sans Sucre,Gerblé,414.0,8.0,18.0,0.0,0.21,61.0,3175681105423,"Farine de blé 47%, édulcorant : maltitols, huile de colza, pépites de chocolat au maltitol 11,2% (édulcorant : maltitols, pâte de cacao, émulsifiant : lécithines de soja, cacao maigre en poudre, arôme naturel de vanille), fibre de blé, cacao maigre en poudre 4,2%, son d'avoine, sel de mer, émulsifiant : lécithines de tournesol, arôme naturel, poudres à lever (carbonates de sodium, carbonates d'ammonium), édulcorant : sucralose.",N/A
Dark milk chocolate,Tesco,597.0,9.9,44.6,33.6,0.23,36.2,5059697710001,"Dried Whole _Milk_, Cocoa Mass, Cocoa Butter, Sugar.",N/A
petit déjeuner miel et pépites de chocolat,belvita,409.0,5.7,15.0,26.0,1.4,60.0,16811207,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %1, sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates de sodium, diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre",N/A
Chocolate Negro,Dark Excelente,569.0,14.0,47.0,12.0,0.02,17.0,8410510012202,"مكونات / INGREDIENTES / INGRÉDIENTS Chocolate negro 85% cacao, Ingredientes: Pasta de cacao, cacao desgrasado en polvo, azúcar, manteca de cacao, leche en polvo, pasta de almendras y avellanas, emulgentes (lecitinas (soja, girasol)), y aroma, Cacao 85% mínimo, Puede contener trazas de otros frutos de cáscara, Conservar el producto en lugar fresco, seco y carente de olores,Temperatura óptima de conservación: 18°C, Chocolat noir 85% cacao, Ingrédients : Pâte de cacao, cacao en poudre dégraissé, sucre, beurre de cacao, lait en poudre, pâte de amandes et de noisettes, émulsifiants (lécithines (soja, toumeso!)) et arôme, Cacao 85% minimum, Peut contenir des traces d'autres fruits à coque, Conserver le produit dans endroit frais, sec et sans odeur,Température optimale de conservation: 18°C, شوكولاتة داكنة دارك % 85% كاكاو المكونات عجينة الكاكاو مسحوق الكاكاو الخالي من الدسم، زبدة الكاكاو، سكر، مسحوق الحليب عجينة اللوز و البندق مستحلبات لستين ( الصوجا، عباد الشمس)) نكهات, الكاكاو 85% الحد الأدنى في الشكولاتة, قد يحتوي على آثار فواكه جافة أخرى, يحفظ المنتج في مكان بارد وجاف وخالي من الروائح درجة حرارة التخزين المثلى: 18 درجة مئوية, Información nutricional / Information nutritionnelle / معلومات غذائية Por / Pour Por porción / % IR por 10g porción*/ 100g",N/A
Nutella,Ferrero,539.0,6.3,30.9,56.3,0.17,57.5,8000500082379,"sugar, palm oil,  hazelnuts  (13%), skimmed  milk  powder (8,7 %), lean cocoa (7,4 %), emulsifier: lecithins ( soya ), vanillin,",N/A
Tagger,Bimo,535.0,3.3,29.0,47.0,0.18,64.0,6111031005033,"Sucre, Huiles Végétales Non-Hydrogénées (Palme, Palmiste), Farine De Blé, Cacao Maigre en Poudre, Lactosérum En Poudre, Emulsifiant (Lécithine De Soja), Poudre A Lever (Bicarbonate De Sodium), Sel. CONTIENT LAIT, BLE (GLUTEN),SOJA",N/A
Wheat Biscuits,Tesco,358.0,12.0,2.0,4.4,0.28,68.0,5000119117359,"Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid. Allergy Advice",N/A
Pâte à tartiner noisette du Lot et Garonne cacao,Lucien Georgelin,552.0,8.6,33.0,55.0,0.13,56.0,3330720237361,"Sucre, huile de colza, noisette 16% (origine France), poudre de lait écrémé, poudre de cacão maigre 7%, émulsifiant: lécithine de tournesol. Traces possibles de sésame et autres fruits à coques. (*feves origine Afrique de l'Ouest)",N/A
N/A,Délicia,250.0,0.5,0.3,61.33,0.0,61.33,6111162000822,,N/A
Kinder Bueno White,"Ferrero,Kinder",571.0,8.5,35.9,43.9,0.33,53.0,80761761,"white chocolate (cocoa butter, sugar, skimmed milk powder, concentrated butter, emulsifier: lecithins (soy), vanillin), sugar, palm oil, wheat flour, skimmed milk powder, whole milk powder, hazelnuts, whey powder, starch, fat reduced cocoa, sunflower oil, milk proteins, emulsifier: lecithins (soy), raising agents (ammonium hydrogen carbonate, sodium hydrogen carbonate), flavourings, salt",N/A
Be Nuts! Pâte à tartiner Cacahuète,Andros,612.0,22.0,49.0,12.0,0.53,18.0,3608580124108,"Cacahuètes torréfiées 85%, sucre, beurre de cacao, huile de tournesol, sel, extrait de vanille, émulsifiant : lécithine de tournesol,

Peut contenir des fruits à coque et des graines de sésame,",N/A
Biscuits pavot citron,Gerblé,454.0,8.9,16.0,16.0,0.36,66.0,3175681066632,"Farine de blé 57,9%, huile de colza, sucre de canne roux, germe de blé 5,6%, graines de pavot bleu 5%, amidon de blé, fibre de blé, fructose, citrons déshydratés 0,9%, jus concentré de citron, magnésium, amidon de maïs, sucre, poudre à lever: carbonates de sodium, arôme naturel de citron, sel de mer, vitamines (D, B6, B9, E).",N/A
Blueberry Muffin Myrtilles,Nakd,374.0,6.57,11.1,48.6,0.0285,57.1,5060088706534,"Dates 58%, _Cashews_ 15%, Raisins 15%, _Almonds_ 10%, Blueberries 2%, Natural Flavouring",N/A
merendina big,bimo,402.0,4.1,19.0,38.0,0.54,55.0,6111031005538,Merendina,N/A
Raspberry Conserve,Bonne Maman,239.0,0.7,0.2,57.0,0.0,57.0,3045320094084,"raspberries, sugar, brown cane sugar, concentrated lemon juice, gelling agent: fruit pectin",N/A
Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,444.0,7.3,15.0,28.0,0.69,67.0,7622210713889,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %), sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates de sodium, diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre. Peut contenir oeuf, fruits à coque, sésame.",N/A
Véritable Petit Écolier Chocolat au Lait,"LU, Mondelez International",498.0,6.2,23.0,39.0,0.64,65.0,7622210421968,"Petit beurre 52% Farine de blé 68%, sucre, beurre pâtissier 14%, lait écrémé en poudre, poudres à lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, correcteur d'acidité (acide citrique).

Chocolat au lait 48% : Sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, lactosérum en poudre (de lait), beurre pâtissier, émulsifiants (lécithines de soja, E476), arôme.

Peut contenir : fruits à coque.",N/A
Proper Corn Sweet & Salty,Popper Corn,465.0,7.6,20.4,11.3,0.66,56.5,5060283760072,"Wholegrain corn (63%), rapeseed oil, demerara sugar, glazing agent (isomalt), sea salt. Watch out: May contain the occasional un-popped kernel. This pack contains approximately 3 servings. Typical Nutrition Per 100g Per 28g Energy 1944kJ",N/A
Véritable Petit Beurre Pocket,lu,440.0,8.1,12.0,23.0,1.3,72.0,3017760000062,"Farine de blé, sucre, beurre, lait écrémé en poudre, sel, poudres à lever (carbonates d'ammonium, carbonates de sodium), correcteur d'acidité (acide citrique), arôme.",N/A
Squeezy Honey,Tesco,331.0,0.0,0.2,82.4,0.01,82.4,5052909732600,Honey,N/A
Pâte a tartiner,dulcetto,522.0,1.3,25.5,71.7,0.1,71.8,6111262820245,"Sucre, huiles et graisses végétales, cacao en poudre, perméat de lactoserum en poudre, pâte de noisette, sel, émulsifiant: lecithine de soja E471, arôme de vanille et de noisette (E) INGREDIENTS: Sugar, vegetable oils and fats, cocoa powder, whey permeate powder, Hazelnut paste, salt, emulsifier: soy lecithine E471, vanilla and hazelnut flavor. TORIS COLLES N° ONSSA PPV.3.213.21",N/A
Cocoa Orange Fruit & Nut Bars,Nakd,394.0,8.57,15.4,42.9,0.0286,51.4,5060088701478,"Dates 40%, Cashews 40%, Raisins 14%, Cocoa 5%, Orange Oil, Natural Flavouring",N/A
,Lotus,584.0,2.9,38.1,36.8,0.54,57.0,5410126116953,"Karamellisoituja keksejä 58% (vehnäjauho, sokeri, kasviöljyt (palmu*, rapsi), siirappi, nostatusaine (natriumvetykarbonaatti), soijajauho, suola, kaneli), rapsiöljy, sokeri, emulgointiaine (soijalesitiini), happo (sitruunahappo),",N/A
Tartimiel® Lune de Miel® doseur 250 g,Lune de Miel,320.0,0.0,0.0,80.0,5e-05,80.0,3088540004440,Mélange de miels non originaires et originaires de l'UE.,N/A
N/A,Excelo,424.0,5.7,15.3,40.8,0.62,65.7,6111249961466,N/A,N/A
Brioche Tranchée Recette Classique,Harrys,345.0,8.0,11.0,15.0,1.1,51.0,3228857001316,"Farine de blé 54%, sucre, eau, ceufs frais 9,5%, beurre pâtissier (lait), huile de colza, levure, sel, rhum, arômes (blé), poudre de jaune d'œufs, extraits végétaux à pouvoir colorant (curcuma, paprika), extrait d'acerola. Peut contenir des traces de soja, fruits à coque et graines de sésame.",N/A
Pâte à tartiner,Nutella,539.0,6.3,30.9,56.3,0.107,57.5,80861263,"sucre, huile de palme, noisette 13%, lait écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines (soja) ; vanilline.",N/A
