Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Pesto Genovese 190g Barilla,Barilla,492.0,4.7,47.0,5.0,3.2,11.0,8076809513753,"sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",N/A
Spaghetti N.5,"BARILLA NORGE ASbarilla, Barilla, BARILLA NORGE AS",359.0,13.0,2.0,3.5,0.01,71.0,8076800195057,"Krupica durum pšenice, voda. Može sadržati zrna soje u tragovima. Može sadržavati jaja u tragovima ako je proizvedeno u tvornici.",N/A
Salade & Compagnie Manhattan Poulet Roti,SODEBO,186.0,8.3,8.8,4.1,0.53,17.0,3242274030056,"Salade composée 80% spécialités céréalières cuites (eau, semoule de BLE dur, CEUF, sel, curcuma), CEUF, salade 11%, viande de poulet, carottes, FROMAGE à pâte dure, jus de citron, huile de colza, eau, amidon et/ou fécule, dextrose, ferments, sel, arôme naturel, persil. Sauce vinaigrette balsamique 7% : huile de colza, huile d'olive vierge, vinaigre de vin (SULFITES), moût de raisin, sel. Cookie au chocolat 7% : sucre, farine de BLE, CEUF, BEURRE, huile de colza, pâte et beurre de cacao, poudre de cacao maigre, poudre à lever: bicarbonate de sodium, émulsifiants: lécithines (SOJA), arôme naturel, sel. Gressins 4% et fourchette 2% : farine de BLE, son de BLE, fibre de BLE, semoule de BLE dur, BEURRE, huile d'olive vierge, huile de colza, eau, levure boulangère, sucre, amidon et/ou fécule, sel, graines de pavot, arôme naturel. Ce produit peut contenir du poisson, du soja, de la moutarde, des fruits à coque et d'autres céréales contenant du gluten. Poulet: origine UE",N/A
,null,467.0,9.0,21.0,5.0,4.0,62.0,5285000396437,Pour in Poe خدا کی كس ع الكل 100 غ حمد الحنة 1 0 SA) } سرده سرده 5285000396437 743729 134131 44 A Net Weight Poid Net,N/A
Pesto Classic Basil,Saclà,380.0,4.9,36.0,3.5,2.65,8.0,8001060375109,"basil 46%, vegetable oil blend (sunflower seed oil, olive oil), cheeses  milk  (cheese, parmigiano reggiano pdo cheese, pecorino romano pdo cheese), olive oil,  cashew nuts , salt, glucose, potato, flavouring, pine nuts, acidity regulator: lactic acid, natural garlic flavouring, extra virgin olive oil, spices",N/A
Penne Rigate N°73,Barilla,359.0,13.0,2.0,3.5,0.01,71.0,8076802085738,"_Hartweizengrieß_, Wasser.",N/A
Barilla Penne Rigate Fullkorn 500g,Barilla,347.0,13.0,2.5,3.5,0.01,64.0,8076809529433,"Fuldkorns _durumhvede_, Vand",N/A
Pesto Basilic extra frais,Panzani,329.0,3.8,31.0,3.5,2.8,7.9,3038354199603,"fresh basil (37%), sunflower oil (26%), water, italian cheeses (pecorino romani, grana padano (contains or) 2,9%), glucose syrup, potato flakes, salt, extra virgin olive oil (2%), cashew nut flour, pine seeds (0,5%), acidifying srome l lactic acid, antioxidant, ascorbic acid,",N/A
Arrabbiata,Barilla,60.0,1.4,3.1,5.0,1.0,5.5,8076809513388,"Polpa di pomodoro 70%, concentrato di pomodoro 13%, cipolla, olio di girasole, peperoni rossi 2%, aglio, prezzemolo, sale, zucchero, peperoncino 0,1%, aroma naturale",N/A
Lurpak Spreadable Slightly Salted,Lurpak,589.0,0.5,65.0,0.5,0.075,0.5,5740900805309,"butter (64%) (milk), rapeseed oil, water, lactic culture (milk), salt",N/A
Pastasaus m/Basilikum,"Mutti, Oluf lorentzen as",56.0,1.6,2.8,4.5,0.81,5.3,8005110517006,"Gehackte Tomaten 60 %, passierte ,,Rossoro&quot;-Tomaten 21%, Tomatenmark 10,2 %, Olivenöl, Zwiebeln, Basilikum &quot;Basilico Genovese DOP&quot; 1,5 %, Karotten, natürliche Aromen, Salz",N/A
Lasagne all'uovo,Barilla,368.0,14.0,4.0,3.0,0.08,68.0,8076800376999,"Semola di grano duro, uova fresche di categoria A (19.36%).",N/A
Tomato & Basil Sauce,Loyd Grossman,63.0,1.5,3.0,6.0,0.72,7.2,5000354168550,"Tomato (61%), Tomato Purée, Garlic, Basil (2.6%), Sugar, Sunflower Oil, Extra Virgin Olive Oil, Sea Salt, Concentrated Lemon juice, Ground Black Pepper.",N/A
Medium Egg Noodles imp,"Sharwood's,Premier Foods",142.0,5.38,0.828,0.483,0.257,27.6,5000354924712,"Wheat Flour, Pasteurised Egg (2%), Salt, Acidity Regulator (Potassium Carbonate). Allergy Advice: For allergens, including cereals containing gluten, see ingredients in bold. May also contain milk, sesame and soya.",N/A
Sundried Cherry Tomato & Basil,Heinz,49.0,1.7,2.1,4.3,0.72,5.1,5000157146298,"Tomato (75%), tomato puree, sundried cherry tomato (6%), onion, extra virgin olive oil, basil (2%), garlic, sea salt, apple juice concentrate, lemon juice concentrate, black pepper.",N/A
